id;material;quantity;transport_type;electric;water;waste
1;Haven Coordinator;8563;Granite;44116;84332;cross-media
2;solid Sports Verde;27620;Salad;85317;50286;Optimization haptic Peso
3;Grass-roots Usability;1603;Realigned;89840;30364;Integration
4;Electronics Licensed;70609;Account;34259;64596;array Parkway Mauritius
5;Uganda Buckinghamshire transmit;86497;Shoes Hryvnia;87293;61110;human-resource functionalities Cheese
6;microchip generation;95956;Bacon;60285;12963;Supervisor
7;Communications;25759;neural Comoros middleware;22928;92944;azure discrete enable
8;Dale navigate Beauty;40421;invoice installation;95801;97520;Lebanese Turkmenistan Gold
9;applications Buckinghamshire Concrete;56223;override Boliviano Money;88295;96188;Plastic data-warehouse
10;violet;87342;Factors Health;75715;24641;reboot Fish Dollar
